source,purpose,required_or_optional,consent_requirement,runtime_switch,behavior_when_denied,behavior_after_withdrawal,db_access,test
"apps/server/src/recommendation/exposure/exposure-tracking.service.ts#getPenalty/getPenalties/getExposureMemory","exposure/fatigue consumer","optional","Current analytics+personalization max grant epoch required and used as lower timestamp bound","Both switches via hasPurpose/currentGrantEpoch","Returns 0/empty map/list before raw reads","Withdrawal stops reads; re-grant excludes pre-epoch exposures and UserEvent; countEvent requires personalization provenance; GAP: narrow read race remains","READ RecommendationExposure + provenance-filtered UserEvent raw SQL","exposure-tracking.service.spec.ts epoch/provenance/old-exposure cases"
"apps/server/src/recommendation/recommendation.controller.ts#trackImpression","impression analytics+exposure producer","optional","JWT + bounded measured DTO; AnalyticsService runs first; exposure only for returned personalization-provenance events and rechecks dual-purpose epoch","Both optional switches through downstream writers","No exposure call when analytics returns null/analytics-only; honest denied or accepted+learned=false response","Exposure post-write compensation closes detected in-flight change; GAP: final check/use race remains","CALL AnalyticsService then ExposureTracking for personalized subset","recommendation.controller.spec.ts analytics-first/withdrawal; useImpressionObserver.test.jsx"
"apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts#evaluateDailyRecommendationQuality","personalized analytics cron","optional","Per-user current analytics+personalization","Both switches via ConsentService","Skips user before optional tables (after core User id enumeration)","Future derivation stops; GAP: re-consent uses old attribution/exposure/contribution rows without effectiveFrom","READ User ids; CALL quality/reward builders","recommendation-evaluator.service.spec.ts"
"apps/server/src/recommendation/evaluation/recommendation-evaluator.service.ts#buildRecommendationQuality/getLatestRecommendationQuality/getRecommendationAttribution","recommendation outcome consumer/producer","optional","Current analytics+personalization required","Both switches via ConsentService","Returns null/empty attribution before optional reads","Future reads/writes stop; GAP: RecommendationAttributionEvent/Exposure/FeatureContribution/UserOutcome lack epoch filters and final pre-write recheck","READ UserEvent(personalization provenance)/Attribution/Exposure/Contribution/UserOutcome; WRITE UserOutcome","recommendation-evaluator.service.spec.ts"
"apps/server/src/recommendation/evaluation/recommendation-reward.service.ts#buildRewardProfile/getLatestReward","recommendation reward consumer/producer","optional","Current analytics+personalization required","Both switches via ConsentService","Returns null before optional reads","Future reads/writes stop; GAP: attribution/exposure/outcome have no effectiveFrom and no final pre-write recheck","READ UserEvent/Attribution/Exposure/UserOutcome; WRITE UserOutcome","recommendation-reward.service.spec.ts"
"apps/server/src/recommendation/evaluation/recommendation-metrics.service.ts#buildDailyMetricsSnapshot/buildMetricsForWindow","population recommendation metrics cron","optional","GAP: analytics runtime only; no personalization runtime/current-consent population/effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED only","Returns disabled metrics and zero delegate IO when analytics OFF","GAP: personalization OFF or withdrawal still processes all attribution/exposure/outcome/contribution rows when analytics ON","READ RecommendationAttributionEvent/Exposure/UserOutcome/FeatureContributionLog; UPSERT RecommendationMetrics","recommendation-metrics.service.spec.ts covers analytics OFF; GAP: personalization/current-population tests absent"
"apps/server/src/recommendation/evaluation/recommendation-metrics.service.ts#getLatestMetrics","population recommendation metrics consumer","optional","GAP: analytics runtime only; persisted aggregate has no current-consent population identity","OPTIONAL_ANALYTICS_INGEST_ENABLED only","Returns explicit disabled zero contract","GAP: after withdrawal may return aggregate built from withdrawn/legacy users","READ RecommendationMetrics or invokes buildMetricsForWindow","recommendation-metrics.service.spec.ts"
"apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-service.ts#observe","shadow personalization consumer/trace producer","optional","A8 canonical consent port resolves configured purposes before profile/history/trace","Recommendation shadow config default OFF + canonical optional switches","Returns disabled shadow result; no profile/history/trace IO","Future observations stop; GAP: persisted profile/history ports lack effectiveFrom epoch","READ observations/exposure history/candidates; optional WRITE redacted trace","recommendation-shadow A8 consent/runtime specs"
"apps/server/src/recommendation/runtime-shadow/recommendation-shadow-data-port.ts#getHistory","shadow exposure history consumer","optional_internal","Relies on A8 orchestrator consent; no self gate","Shadow runtime caller config only","Normal denied observe never calls; GAP: direct port call reads","GAP: no consent epoch/effectiveFrom on RecommendationExposure","READ RecommendationExposure","shadow data-port specs; GAP: direct consent/epoch test absent"
"apps/server/src/ai/tools/explain-recommendation.tool.ts#ExplainRecommendationTool.handler","AI recommendation-exposure consumer","optional","Valid recipe plus current analytics+personalization required before exposure lookup","Both switches via ConsentService.hasPurpose","Returns generic limited_data with empty reasons; zero exposure IO","Withdrawal/consent error suppresses exposure claim; GAP: re-grant can read pre-withdrawal exposure because tool passes no epoch","READ RecommendationExposure after dual consent","explain-recommendation.tool.spec.ts denied/error/generic cases"
"apps/server/src/governance/governance-insights.service.ts#getGovernanceSummary","analytics/recommendation diagnostics consumer","mixed","Core experiment/user summary remains; analytics volume uses latest current-policy consent population and per-grant epoch/provenance","OPTIONAL_ANALYTICS_INGEST_ENABLED direct","Reports event volume unavailable/null before UserConsent/UserEvent IO; core summary still works","Withdrawn users excluded without UserEvent IO; ledger error yields unavailable; GAP: experiment assignments remain core-reported and check/read race remains","COUNT core ExperimentAssignment/User; optional READ UserConsent/UserEvent","governance-insights.service.spec.ts runtime/population/error cases"
"apps/server/src/briefing/briefing.service.ts#getTodayBriefing/getProactiveNudge/evaluateDelivery","briefing personalization consumer","optional","Current personalization required before profile/plan/shopping/gamification/event reads","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED via ConsentService; INE real-send separately default OFF","Returns generic non-personalized briefing or empty nudge/decisions with zero optional history IO","Future optional reads stop; GAP: re-consent can reuse old profile/UserEvent/gamification state without epoch","READ Profile/MealPlan/Shopping/UserEvent; CALL Gamification/INE","briefing.service.spec.ts; briefing QA gate"
"apps/server/src/briefing/briefing.service.ts#logFeedback","briefing event producer","optional","Delegates to AnalyticsService; personalization routing only if current","Both optional switches via central ingest","Returns accepted=false when no event stored","Future feedback events stop; central in-flight race applies","CALL AnalyticsService.trackEvent","briefing.service.spec.ts"
"apps/server/src/gamification/gamification.service.ts#recomputeForUser","gamification derived-state producer","optional","Current personalization at entry; UserEvent source requires personalization provenance","Personalization switch via ConsentService","Returns empty state before optional reads/writes","Future recompute stops; GAP: no effectiveFrom cutoff or final recheck; persisted old streak/achievement/progress can be reused after re-consent","READ UserEvent/profile; WRITE UserStreak/UserAchievement/UserProgress/GamificationEvent","gamification.service.spec.ts"
"apps/server/src/gamification/gamification.service.ts#getSummary/evaluateNotifications","gamification consumer/notification candidate producer","optional","Current personalization required","Personalization switch; INE real-send default OFF","Returns empty summary/decision list","Future reads/candidates stop; GAP: re-consent reads persisted old gamification state","READ gamification tables; optional CALL INE","gamification.service.spec.ts"
"apps/server/src/meal-plans/meal-plans.service.ts#core plan CRUD (getCurrentPlan/savePlan/fillSlots/addMealSlot/removeMealSlot/markCooked)","meal planner core service","required_core","Authenticated owner; declared allergy/diet safety independent of optional purposes","No optional switch for user-requested plan CRUD","User can manage own plan; no optional learning is required","Withdrawal does not delete/block user-owned plan; analytics events are separate frontend producer","READ/WRITE MealPlan/MealSlot and recipe safety data","meal-plans.service.spec.ts; planner safety suites"
"apps/server/src/meal-plans/meal-plans.service.ts#generateSmartPlan","smart meal-plan consumer","mixed","Core diet/skill+safety always; budget/cost tailoring only with current personalization","Personalization switch via ConsentService","Generates core/safety plan without budget read/filter","Future optional budget use stops; GAP: re-consent can reuse old budget without epoch; no final consent check needed for read-only response","READ UserPreference(core plus optional budget) and recipes; safety filter","meal-plans.smart-plan-consent.spec.ts"
"apps/server/src/meal-plans/planner/meal-plan-planner.service.ts#proposePlan/swapSlot","planner recommendation consumer","mixed","Core living profile/allergy safety always; recent-decline exclusions require current personalization","Personalization switch via ConsentService","Returns generic safety-filtered proposal; no UserEvent history read","Future history reads stop; GAP: re-consent recentlyDeclinedIds includes pre-withdrawal events without effectiveFrom","READ core profile/recipes; optional READ UserEvent(personalization provenance)","meal-plan-planner.service.spec.ts"
"apps/server/src/notifications/notifications.service.ts#transactional notification methods/createAndSendNotification","notification core producer","required_operational","Service action/owner context (ticket reply, explicit plan/badge/reminder); optional schedulers must gate upstream","INE_REAL_SEND_ENABLED applies scheduler dispatch, not direct transactional methods","Direct required notification remains available","Withdrawal of analytics/personalization does not suppress genuinely transactional notification; GAP: notification-purpose policy remains product/legal-owned","WRITE Notification","notifications.service.spec.ts"
"apps/server/src/notifications/notifications.service.ts#generateSmartSuggestion","personalized notification producer","optional","Current personalization before profile/meal/favorite/notification IO","Personalization switch via ConsentService","Returns null; zero downstream reads/writes","Future calls stop; GAP: no final pre-create recheck and no consent epoch for inputs","READ UserBehaviorProfile/MealPlan/Favorite; WRITE Notification","notifications.smart-suggestion-consent.spec.ts"
"apps/server/src/notifications/ine/ine.service.ts#resolveState/resolveCandidates/decideForUser","notification targeting consumer","optional","Current personalization required before optional profile/history resolution; dispatch retains separate policy","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED via direct gate; INE_REAL_SEND_ENABLED separately gates real send","Returns neutral state/empty candidates before optional DB IO; pure core decision may still run on caller-provided candidates","Future optional reads stop; GAP: re-grant can reuse old profile/churn/notification state and in-memory decision ledger has no grant epoch","READ Profile/UserBehaviorProfile/Notification/MealPlan/Shopping after gate; WRITE in-memory ledger","ine.service.spec.ts runtime-OFF/deny/error cases"
"apps/server/src/notifications/notification-scheduler.service.ts#handleDailyReminders","notification cron consumer","optional","Outer personalization runtime gate; then User.id enumeration and per-user current personalization before shopping/plan/notification IO","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct; INE_REAL_SEND_ENABLED separately gates real send","Runtime OFF returns with zero DB/INE calls; denied user has no optional reads","Withdrawal skips user optional IO; GAP: minimal User.id enumeration occurs before per-user consent and re-grant inputs lack epoch","READ User ids then gated ShoppingList/MealPlan/Notification; optional send","notification-scheduler.service.spec.ts runtime/deny/error cases"
"apps/server/src/notifications/notification-scheduler.service.ts#handleMealReminders","notification cron consumer","optional","Outer runtime gate then User.id enumeration and per-user current personalization before MealPlan/MealSlot/notification IO","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct; INE_REAL_SEND_ENABLED separately gates send","Runtime OFF zero DB/INE; denied user has no plan read","Withdrawal skips optional IO; GAP: minimal User.id enumeration and no re-grant epoch on plans","READ User ids then gated MealPlan/MealSlot; optional send","notification-scheduler.service.spec.ts"
"apps/server/src/notifications/notification-scheduler.service.ts#handleChurnRiskNotifications","profile-based notification cron","optional","Outer runtime gate then User.id enumeration and per-user current personalization before churn profile/notification IO","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct; INE_REAL_SEND_ENABLED separately gates send","Runtime OFF zero DB/INE; denied user has no profile read","Withdrawal skips optional IO; GAP: minimal User.id enumeration and old churn profile can be reused after re-grant","READ User ids then gated UserBehaviorProfile; optional send","notification-scheduler.service.spec.ts"
"apps/server/src/outcomes/health-outcome.service.ts#calculateWeeklyHealthOutcomes","health-adjacent outcome cron producer","optional_sensitive","Per-user current personalization before meal/outcome IO","Personalization switch via ConsentService","Skips user; zero optional meal/outcome IO after user-id enumeration","Future jobs skip; GAP: no effectiveFrom input cutoff or final pre-write recheck","READ MealPlan/UserOutcome; WRITE UserOutcome(meal_consistency)","outcomes.consent-gate.spec.ts"
"apps/server/src/outcomes/behavior-outcome.service.ts#calculateWeeklyBehaviorOutcomes","behavior outcome cron producer","optional","Per-user current personalization before shopping/outcome IO","Personalization switch via ConsentService","Skips user; zero optional IO after user-id enumeration","Future jobs skip; GAP: no effectiveFrom input cutoff or final pre-write recheck","READ ShoppingItem/UserOutcome; WRITE UserOutcome(shopping_efficiency)","outcomes.consent-gate.spec.ts"
"apps/server/src/outcomes/adherence-outcome.service.ts#calculateWeeklyAdherenceOutcomes","adherence outcome cron producer","optional","Per-user current personalization before meal/outcome IO","Personalization switch via ConsentService","Skips user; zero optional IO after user-id enumeration","Future jobs skip; GAP: no effectiveFrom input cutoff or final pre-write recheck","READ MealPlan/UserOutcome; WRITE UserOutcome(goal_adherence)","outcomes.consent-gate.spec.ts"
"apps/server/src/recipes/recipes.service.ts#getRecipeEngagement","public recipe engagement aggregate consumer","optional_aggregate","GAP: provenance only; no current-consent population/effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED explicit pre-IO","Returns empty engagement map; zero UserEvent/MealSlot IO","GAP: withdrawn/re-consent users' historical provenanced events remain in aggregate","GROUP UserEvent; MealSlot intentionally excluded for no provenance","recipes.service.spec.ts covers OFF/provenance; GAP: current-population test absent"
"apps/server/src/workflow/workflow-scheduler.service.ts#tick + WorkflowNodesService.queryNode","workflow/cron orchestrator","mixed_operational","Workflow registry is operational; each optional query source must self-gate","WORKFLOW_SCHEDULER_DISABLED; downstream optional switches","Scheduler may run operational nodes; optional source should return/throw before data IO","Withdrawal handled only by downstream source; no replay of optional result beyond WorkflowAlert","READ/WRITE Workflow/WorkflowRun/WorkflowAlert; delegate sources","workflow scheduler/nodes specs"
"apps/server/src/workflow/workflow-nodes.service.ts#contentGaps","analytics workflow consumer","optional","GAP: runtime+consentPurpose only; no current-consent population/effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED explicit","Returns disabled result with zero UserEvent IO","GAP: when ON, withdrawn users' historical analytics rows remain counted","COUNT UserEvent(search_unmet, analytics provenance)","workflow-nodes.service.spec.ts covers OFF; GAP: withdrawal/current-population absent"
"apps/server/src/workflow/workflow-nodes.service.ts#analytics.funnels source","analytics workflow consumer","optional","Delegates to AnalyticsIntelligence current consent population","Analytics switch via helper","Throws unavailable before UserEvent IO","Current epoch filter excludes withdrawn/pre-regrant events","CALL AnalyticsIntelligence.getFunnels","analytics-intelligence/optional-boundary specs"
"apps/server/src/governance/data-retention.service.ts#cleanupOldEvents + RetentionService.previewRetention","retention/legal owner consumer","required_legal","Controller/data-controller retention obligation; not optional analytics consent","RETENTION_DESTRUCTIVE_ENABLED default false; destructive execution still refuses","Counts stored candidates only; never deletes","Withdrawal does not block retention/erasure duties; dry-run may count stored rows","COUNT UserEvent/SignalObservation/Exposure/Attribution/Contribution/UserOutcome etc per policy","retention.service.spec.ts; data-retention.service.spec.ts"
"apps/server/src/retention/retention-policy.ts#RETENTION_POLICY","retention ownership map","required_legal","Policy classification, not user consent","Destructive path disabled","No deletion; unlisted models default review_required","GAP: RecommendationServedItem and EventOutbox are not explicitly classified despite optional data ownership; indefinite policy remains ambiguous","No runtime DB access","retention-policy.spec.ts; GAP: explicit-model completeness should include newer models"
"apps/server/src/users/export/user-export.service.ts#exportUser","data portability/legal consumer","required_legal","Authenticated data subject; export right overrides optional-processing runtime for stored own data","No optional runtime switch","Exports stored data with sanitization/limits even after deny","Withdrawal does not hide retained own data from subject; GAP: canonical UserConsent, RecommendationServedItem and EventOutbox are omitted","READ UserEvent/Profile/Signals/Observations/Vector/Outcome/Exposure/Attribution/Contribution and user-owned tables","user-export.service.spec.ts; export disposable verification; GAP: completeness tests for omitted models"
"apps/server/src/users/erasure/erasure.service.ts#eraseUser","erasure/legal owner consumer/deleter","required_legal","Authenticated self/admin legal workflow; no optional consent required","No optional switch","Erasure remains available regardless consent state","Deletes user-linked optional rows by cascade and explicit RecommendationServedItem/RecipePrior cleanup; audit-long rows scrubbed/de-linked","DELETE User plus cascades; explicit DELETE RecommendationServedItem; WRITE ErasureEvent","erasure.service.spec.ts; erasure disposable verification"
"apps/server/src/users/guest-reaper.service.ts#reap/reapOnce","account lifecycle erasure cron","required_legal_operational","Guest TTL/account lifecycle, not optional consent","GUEST_REAPER_DISABLED and TTL config","Disabled returns before user scan","Deletion cascades optional guest data; not a personalization consumer","READ/DELETE expired guest User rows (cascade)","guest-reaper.service.spec.ts"
"apps/server/src/admin/admin.service.ts#recordAudit/recordAuditStrict/recordAuditDurable/getAuditLogs","operational security/audit producer+consumer","required_operational","Admin actor/role workflow; bounded allowlisted metadata; separate from optional analytics","No optional switch","Operational audit remains available; malformed passive metadata rejected","Withdrawal irrelevant; audit-long accountability survives target erasure with scrubbing rules","WRITE/READ UserAuditLog only; never UserEvent","admin audit boundary specs; admin.service.spec.ts"
"apps/server/src/analytics/intelligence/analytics-intelligence.service.ts#getFunnels","admin analytics consumer","optional","Requires non-empty current analytics-consent population; filters every event to current grant epoch","OPTIONAL_ANALYTICS_INGEST_ENABLED via helper","Throws honest unavailable before UserEvent IO","Withdrawn users and pre-regrant rows excluded","READ UserEvent","analytics-intelligence.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/analytics/intelligence/analytics-intelligence.service.ts#getTrends","admin analytics consumer","optional","Requires current analytics population + event timestamp >= effectiveFrom","Analytics switch via helper","Throws unavailable before UserEvent IO","Withdrawn/pre-regrant rows excluded","READ UserEvent","analytics-intelligence.service.spec.ts"
"apps/server/src/analytics/intelligence/analytics-intelligence.service.ts#getCohorts","admin intelligence consumer","optional","Provenance for this mixed surface is declared insufficient; analytics must be runtime-enabled before unavailable response","OPTIONAL_ANALYTICS_INGEST_ENABLED","Always throws explicit optional_data_provenance_unavailable before legacy/mixed DB reads","Remains unavailable after withdrawal or re-consent until source provenance design exists","ZERO optional DB access (unreachable legacy code below throw)","getCohorts: analytics-intelligence.service.spec.ts; analytics-l4-16-qa-gate.spec.ts"
"apps/server/src/analytics/intelligence/analytics-intelligence.service.ts#getBehaviorInsights","admin intelligence consumer","optional","Provenance for this mixed surface is declared insufficient; analytics must be runtime-enabled before unavailable response","OPTIONAL_ANALYTICS_INGEST_ENABLED","Always throws explicit optional_data_provenance_unavailable before legacy/mixed DB reads","Remains unavailable after withdrawal or re-consent until source provenance design exists","ZERO optional DB access (unreachable legacy code below throw)","getBehaviorInsights: analytics-intelligence.service.spec.ts; analytics-l4-16-qa-gate.spec.ts"
"apps/server/src/analytics/intelligence/analytics-intelligence.service.ts#getProductIntelligence","admin intelligence consumer","optional","Provenance for this mixed surface is declared insufficient; personalization must be runtime-enabled before unavailable response","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED","Always throws explicit optional_data_provenance_unavailable before legacy/mixed DB reads","Remains unavailable after withdrawal or re-consent until source provenance design exists","ZERO optional DB access (unreachable legacy code below throw)","getProductIntelligence: analytics-intelligence.service.spec.ts; analytics-l4-16-qa-gate.spec.ts"
"apps/server/src/analytics/intelligence/ops-intelligence.service.ts#getHealth/eventQuality","operational health + optional event-quality consumer","mixed","AICallLog operational aggregate needs no optional grant; eventQuality requires current analytics population/epoch","Analytics switch only for eventQuality","Operational health remains; eventQuality returns explicit unavailable with zero UserEvent IO","Withdrawn/pre-regrant UserEvent excluded; operational AI health remains","READ AICallLog; conditional READ UserEvent current population","ops-intelligence.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/analytics/intelligence/ops-intelligence.service.ts#getSafetyCompliance/consentPosture","safety/compliance consumer","required_operational","Runs deterministic safety corpus and aggregate UserConsent posture; no user behavior processing","No optional switch","Available without optional analytics; no optional event/profile IO","Withdrawal is itself reflected in aggregate latest consent posture","READ UserConsent/AICallLog metadata; deterministic fixtures","ops-intelligence.service.spec.ts; ops QA gate"
"apps/server/src/analytics/intelligence/ops-intelligence.service.ts#getEconomics/getAiObservability","AI operational accounting consumer","required_operational","Aggregate AICallLog audit ledger; per-user/intent views explicitly unavailable","No optional analytics switch; AI provider/runtime controls separate","Returns aggregate/null accounting; no UserEvent/behavior DB IO","Withdrawal does not suppress controller operational cost/safety accounting; no per-user optional view exposed","READ AICallLog only","ops-intelligence.service.spec.ts; ops QA gate"
"apps/server/src/admin/admin.service.ts#AdminService.getContentGaps","admin optional-data consumer","optional","Requires non-empty current analytics population; events filtered to purpose provenance and effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent search_unmet; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getRecentEvents","admin optional-data consumer","optional","Requires non-empty current analytics population; events filtered to purpose provenance and effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent safe scalars; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getAnalyticsStats","admin optional-data consumer","optional","Requires non-empty current analytics population; events filtered to purpose provenance and effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent aggregate; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getMealPlanningStats","admin optional-data consumer","optional","Requires non-empty current analytics population; events filtered to purpose provenance and effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent mealplan_add; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getRecommendationFunnel","admin optional-data consumer","optional","Requires non-empty current analytics population; events filtered to purpose provenance and effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent recommendation funnel; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getAIInteractionStats","admin optional-data consumer","optional","Requires non-empty current personalization population; events filtered to purpose provenance and effectiveFrom","Both analytics + personalization switches via current population","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent personalized enrichment; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getPageViewStats","admin optional-data consumer","optional","Requires non-empty current analytics population; events filtered to purpose provenance and effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent page events; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getAddSource","admin optional-data consumer","optional","Requires non-empty current analytics population; events filtered to purpose provenance and effectiveFrom","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before optional DB IO","Withdrawn users/pre-regrant rows excluded from subsequent queries","READ UserEvent shopping/plan events; recipe title lookup only after qualifying ids","admin.service.spec.ts; optional-processing-boundary.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getRecipeStats","admin mixed-provenance consumer","optional","Source model lacks sufficient analytics current-consent provenance; intentionally disabled","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws optional_data_provenance_unavailable before DB IO","Remains unavailable after re-consent until provenance/epoch model exists","ZERO optional DB access (legacy code unreachable)","admin.service.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getShoppingAnalytics","admin mixed-provenance consumer","optional","Source model lacks sufficient analytics current-consent provenance; intentionally disabled","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws optional_data_provenance_unavailable before DB IO","Remains unavailable after re-consent until provenance/epoch model exists","ZERO optional DB access (legacy code unreachable)","admin.service.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getBehaviorProfiles","admin mixed-provenance consumer","optional","Source model lacks sufficient personalization current-consent provenance; intentionally disabled","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED","Throws optional_data_provenance_unavailable before DB IO","Remains unavailable after re-consent until provenance/epoch model exists","ZERO optional DB access (legacy code unreachable)","admin.service.spec.ts"
"apps/server/src/admin/admin.service.ts#AdminService.getAdminInsights","admin composite intelligence consumer","optional","Requires current analytics population before composing analytics+operational summaries","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws before downstream optional calls when unavailable","Current-population downstream filters apply; mixed unavailable blocks remain honest","CALL OpsIntelligence/AnalyticsIntelligence/Admin content gaps","admin.service.spec.ts"
"apps/server/src/admin/admin.service.ts#getUserStats/getDashboardStats/getSystemHealth","admin operational consumer","required_operational","Core user/catalog/ticket counts and canonical UserAuditLog only","No optional switch","Available with optional processing OFF; system health explicitly says optional analytics unavailable","Withdrawal irrelevant to operational/core counts","READ User/Recipe/Ticket/UserAuditLog; no UserEvent","admin.service.spec.ts"
"apps/server/src/admin/observability.service.ts#eventStream","per-user admin analytics consumer","optional","Requires that target user is in current analytics population; event timestamp >= grant epoch","OPTIONAL_ANALYTICS_INGEST_ENABLED","403/503 before UserEvent IO","Withdrawn target excluded; pre-regrant rows excluded","READ UserEvent safe scalars","observability.service.spec.ts"
"apps/server/src/admin/observability.service.ts#observations","per-user admin personalization consumer","optional","Requires target current personalization+analytics population; observation epoch and source-event provenance","Both optional switches","403/503 before SignalObservation IO","Withdrawn/pre-regrant observations excluded","READ SignalObservation joined to UserEvent provenance","observability.service.spec.ts"
"apps/server/src/admin/observability.service.ts#profileTrace","admin observability mixed-provenance consumer","optional","Mixed source provenance is insufficient; personalization runtime must be ON then endpoint still returns unavailable","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED","Throws before optional DB IO","Remains unavailable after re-consent until source epoch/provenance exists","ZERO optional DB access (legacy body unreachable)","observability.service.spec.ts"
"apps/server/src/admin/observability.service.ts#aiCalls","admin observability mixed-provenance consumer","optional","Mixed source provenance is insufficient; analytics runtime must be ON then endpoint still returns unavailable","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws before optional DB IO","Remains unavailable after re-consent until source epoch/provenance exists","ZERO optional DB access (legacy body unreachable)","observability.service.spec.ts"
"apps/server/src/admin/observability.service.ts#recsysHealth","admin observability mixed-provenance consumer","optional","Mixed source provenance is insufficient; personalization runtime must be ON then endpoint still returns unavailable","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED","Throws before optional DB IO","Remains unavailable after re-consent until source epoch/provenance exists","ZERO optional DB access (legacy body unreachable)","observability.service.spec.ts"
"apps/server/src/admin/observability.service.ts#counters","admin aggregate analytics consumer","optional","Requires current analytics population + effectiveFrom per user","OPTIONAL_ANALYTICS_INGEST_ENABLED","Throws unavailable before UserEvent groupBy","Withdrawn/pre-regrant events excluded","GROUP UserEvent current population","observability.service.spec.ts"
"apps/server/src/admin/observability.service.ts#consent/tickets","admin consent/support consumer","required_operational","Role-authorized admin/legal support; not optional behavior processing","No optional switch","Available; bounded metadata only","Withdrawal decisions remain visible as compliance evidence","READ UserConsent/SupportTicket metadata","observability.service.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getFeatureVector","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getSignals","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
