"source","gap_text","classification","active_path","runtime_switch","transaction_boundary","evidence","owner","final_status"
"apps/server/src/recommendation/evaluation/recommendation-reward.service.ts#buildRewardProfile/getLatestReward","Future reads/writes stop; GAP: attribution/exposure/outcome have no effectiveFrom and no final pre-write recheck","ACTIVE_GATED","reward inputs and readback are bounded to the current joint epoch","Both canonical switches enforced by currentPersonalizedAnalyticsEpoch","UserOutcome reward creation executes inside the shared boundary with expected joint epoch","apps/server/src/recommendation/evaluation/recommendation-reward.service.ts; apps/server/src/recommendation/evaluation/recommendation-reward.service.spec.ts","Coordinator — Recommendation Evaluation","closed_transactional_writer_and_epoch_reads"
"apps/server/src/recommendation/evaluation/recommendation-metrics.service.ts#buildDailyMetricsSnapshot/buildMetricsForWindow","GAP: analytics runtime only; no personalization runtime/current-consent population/effectiveFrom || GAP: personalization OFF or withdrawal still processes all attribution/exposure/outcome/contribution rows when analytics ON || recommendation-metrics.service.spec.ts covers analytics OFF; GAP: personalization/current-population tests absent","LEGACY_DISABLED","metrics build path is deliberately contained to an unavailable zero-DB contract","Always zero-I/O unavailable containment; analytics runtime state is reported but never activates DB processing","not applicable; no optional DB read or write occurs","apps/server/src/recommendation/evaluation/recommendation-metrics.service.ts; apps/server/src/recommendation/evaluation/recommendation-metrics.service.spec.ts","Recommendation Metrics Owner","closed_no_io_containment"
"apps/server/src/recommendation/evaluation/recommendation-metrics.service.ts#getLatestMetrics","GAP: analytics runtime only; persisted aggregate has no current-consent population identity || GAP: after withdrawal may return aggregate built from withdrawn/legacy users","LEGACY_DISABLED","latest metrics path is deliberately contained to an unavailable zero-DB contract","Always zero-I/O unavailable containment; analytics runtime state is reported but never activates DB processing","not applicable; no optional DB read occurs","apps/server/src/recommendation/evaluation/recommendation-metrics.service.ts; apps/server/src/recommendation/evaluation/recommendation-metrics.service.spec.ts","Recommendation Metrics Owner","closed_no_io_containment"
"apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-service.ts#observe","Future observations stop; GAP: persisted profile/history ports lack effectiveFrom epoch","RUNTIME_DISABLED","A8 shadow observation is default-OFF and must not be activated until persisted profile/history provenance is epoch-aware","Recommendation shadow config default OFF + canonical optional switches","shadow mode/config is the kill switch; no current launch activation","apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-service.ts; apps/server/src/recommendation/runtime-shadow/recommendation-shadow-a8-consent-adapter.spec.ts","Recommendation Shadow Owner","disabled_until_epoch_contract"
"apps/server/src/recommendation/runtime-shadow/recommendation-shadow-data-port.ts#getHistory","Normal denied observe never calls; GAP: direct port call reads || GAP: no consent epoch/effectiveFrom on RecommendationExposure || shadow data-port specs; GAP: direct consent/epoch test absent","RUNTIME_DISABLED","shadow history port is reachable only from default-OFF shadow mode and has no direct epoch contract","Shadow runtime caller config only","shadow mode/config is the kill switch","apps/server/src/recommendation/runtime-shadow/recommendation-shadow-data-port.ts; apps/server/src/recommendation/runtime-shadow/recommendation-shadow-retention-readiness.spec.ts","Recommendation Shadow Owner","disabled_until_epoch_contract"
"apps/server/src/ai/tools/explain-recommendation.tool.ts#ExplainRecommendationTool.handler","Withdrawal/consent error suppresses exposure claim; GAP: re-grant can read pre-withdrawal exposure because tool passes no epoch","READ_ONLY_FILTERED","tool delegates exposure lookup to the current joint-epoch filtered exposure service","Both switches via ConsentService.hasPurpose","not applicable; read-only delegated epoch filter","apps/server/src/ai/tools/explain-recommendation.tool.spec.ts; apps/server/src/recommendation/exposure/exposure-tracking.service.ts","AI Privacy Owner","closed_delegated_epoch_read"
"apps/server/src/governance/governance-insights.service.ts#getGovernanceSummary","Withdrawn users excluded without UserEvent IO; ledger error yields unavailable; GAP: experiment assignments remain core-reported and check/read race remains","READ_ONLY_FILTERED","optional event volume is filtered to latest current-policy analytics population and per-subject epoch","OPTIONAL_ANALYTICS_INGEST_ENABLED direct","not applicable; read-only current-population filter","apps/server/src/governance/governance-insights.service.spec.ts; apps/server/src/governance/governance-insights.service.ts","Governance Owner","closed_current_population_read"
"apps/server/src/briefing/briefing.service.ts#getTodayBriefing/getProactiveNudge/evaluateDelivery","Future optional reads stop; GAP: re-consent can reuse old profile/UserEvent/gamification state without epoch","DEFERRED_WITH_KILL_SWITCH","briefing analytics writer is delegated safely, but optional profile/event/gamification reads lack one joint epoch","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED via ConsentService; INE real-send separately default OFF","canonical personalization runtime and INE real-send switch remain OFF for optional delivery","apps/server/src/briefing/briefing.service.ts; apps/server/src/briefing/briefing.service.spec.ts","Briefing Privacy Owner","deferred_epoch_contract"
"apps/server/src/gamification/gamification.service.ts#recomputeForUser","Future recompute stops; GAP: no effectiveFrom cutoff or final recheck; persisted old streak/achievement/progress can be reused after re-consent","LEGACY_DISABLED","no production caller reaches recomputeForUser or evaluateNotifications; the live controller exposes read-only getSummary","A direct invocation requires current personalization epoch","dormant streak/achievement/progress mutations now share one expected-epoch boundary; pre-regrant input reuse still forbids activation","apps/server/src/gamification/gamification.service.ts; apps/server/src/gamification/gamification.controller.ts; apps/server/src/gamification/gamification.service.spec.ts","Gamification Privacy Owner","disabled_no_production_caller_boundary_present"
"apps/server/src/gamification/gamification.service.ts#getSummary/evaluateNotifications","Future reads/candidates stop; GAP: re-consent reads persisted old gamification state","DEFERRED_WITH_KILL_SWITCH","gamification reads can reuse pre-regrant state","Personalization switch; INE real-send default OFF","canonical personalization runtime remains OFF until state is epoch-partitioned or filtered","apps/server/src/gamification/gamification.service.ts; apps/server/src/gamification/gamification.service.spec.ts","Gamification Privacy Owner","deferred_epoch_contract"
"apps/server/src/meal-plans/meal-plans.service.ts#generateSmartPlan","Future optional budget use stops; GAP: re-consent can reuse old budget without epoch; no final consent check needed for read-only response","DEFERRED_WITH_KILL_SWITCH","smart plan has a core generic path; optional budget enrichment has no grant-epoch provenance","Personalization switch via ConsentService","canonical personalization runtime disables optional budget use while generic planning remains available","apps/server/src/meal-plans/meal-plans.smart-plan-consent.spec.ts; apps/server/src/meal-plans/meal-plans.service.ts","Meal Plan Privacy Owner","deferred_optional_enrichment"
"apps/server/src/meal-plans/planner/meal-plan-planner.service.ts#proposePlan/swapSlot","Future history reads stop; GAP: re-consent recentlyDeclinedIds includes pre-withdrawal events without effectiveFrom","DEFERRED_WITH_KILL_SWITCH","generic proposal/swap remains available; optional decline history lacks grant-epoch filtering","Personalization switch via ConsentService","canonical personalization runtime disables decline-history enrichment","apps/server/src/meal-plans/planner/meal-plan-planner.service.spec.ts; apps/server/src/meal-plans/planner/meal-plan-planner.service.ts","Meal Plan Privacy Owner","deferred_optional_enrichment"
"apps/server/src/notifications/notifications.service.ts#transactional notification methods/createAndSendNotification","Withdrawal of analytics/personalization does not suppress genuinely transactional notification; GAP: notification-purpose policy remains product/legal-owned","ACTIVE_GATED","transactional account/system notification methods are classified core, not optional analytics/personalization","INE_REAL_SEND_ENABLED applies scheduler dispatch, not direct transactional methods","not applicable to optional boundary; caller purpose and auth govern core notification","apps/server/src/notifications/notifications.service.ts","Notification Policy Owner","closed_core_non_optional_path"
"apps/server/src/notifications/notifications.service.ts#generateSmartSuggestion","Future calls stop; GAP: no final pre-create recheck and no consent epoch for inputs","DEFERRED_WITH_KILL_SWITCH","authenticated endpoint exists, but dedicated OPTIONAL_SMART_SUGGESTIONS_ENABLED must be exact true before consent or suggestion I/O; final create is locked while input epoch provenance remains incomplete","OPTIONAL_SMART_SUGGESTIONS_ENABLED exact true is the dedicated default-OFF pre-consent/pre-I/O kill switch; canonical personalization runtime is an additional gate","after both switches and current consent pass, final personalized Notification create executes inside the shared boundary with expected epoch; stale-input activation remains prohibited","apps/server/src/notifications/notifications.service.ts; apps/server/src/notifications/notifications.smart-suggestion-consent.spec.ts","Notification Privacy Owner","deferred_dedicated_kill_switch_locked_writer_stale_input"
"apps/server/src/notifications/ine/ine.service.ts#resolveState/resolveCandidates/decideForUser","Future optional reads stop; GAP: re-grant can reuse old profile/churn/notification state and in-memory decision ledger has no grant epoch","DEFERRED_WITH_KILL_SWITCH","INE decision reads remain dry-run; persisted inputs and in-memory ledger are not grant-epoch partitioned","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED via direct gate; INE_REAL_SEND_ENABLED separately gates real send","personalization runtime plus INE_REAL_SEND_ENABLED remain independent kill switches","apps/server/src/notifications/ine/ine.service.ts; apps/server/src/notifications/ine/ine.service.spec.ts","Notification Privacy Owner","deferred_real_send_and_epoch"
"apps/server/src/notifications/notification-scheduler.service.ts#handleDailyReminders","Withdrawal skips user optional IO; GAP: minimal User.id enumeration occurs before per-user consent and re-grant inputs lack epoch","DEFERRED_WITH_KILL_SWITCH","scheduler returns before user discovery while runtime OFF; real-send notification writes are locked, but shopping-list/plan inputs remain unpartitioned by grant epoch","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct; INE_REAL_SEND_ENABLED separately gates real send","when INE real send is enabled, dispatch delegates to NotificationsService personalized methods with the scheduler's expected epoch and the shared boundary","apps/server/src/notifications/notification-scheduler.service.ts; apps/server/src/notifications/notifications.service.ts; apps/server/src/notifications/notification-scheduler.service.spec.ts","Notification Privacy Owner","deferred_off_before_discovery_locked_writer_stale_input"
"apps/server/src/notifications/notification-scheduler.service.ts#handleMealReminders","Withdrawal skips optional IO; GAP: minimal User.id enumeration and no re-grant epoch on plans","DEFERRED_WITH_KILL_SWITCH","scheduler returns before user discovery while runtime OFF; real-send notification write is locked, but meal-plan input remains unpartitioned by grant epoch","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct; INE_REAL_SEND_ENABLED separately gates send","when INE real send is enabled, dispatch delegates to NotificationsService.notifyMealReminder with expected epoch and the shared boundary","apps/server/src/notifications/notification-scheduler.service.ts; apps/server/src/notifications/notifications.service.ts; apps/server/src/notifications/notification-scheduler.service.spec.ts","Notification Privacy Owner","deferred_off_before_discovery_locked_writer_stale_input"
"apps/server/src/notifications/notification-scheduler.service.ts#handleChurnRiskNotifications","Withdrawal skips optional IO; GAP: minimal User.id enumeration and old churn profile can be reused after re-grant","DEFERRED_WITH_KILL_SWITCH","scheduler returns before user discovery while runtime OFF; real-send notification write is locked, but churn-profile input is not filtered by grant epoch","OPTIONAL_PERSONALIZATION_PROCESSING_ENABLED direct; INE_REAL_SEND_ENABLED separately gates send","when INE real send is enabled, dispatch delegates to NotificationsService.notifyChurnReengagement with expected epoch and the shared boundary","apps/server/src/notifications/notification-scheduler.service.ts; apps/server/src/notifications/notifications.service.ts; apps/server/src/notifications/notification-scheduler.service.spec.ts","Notification Privacy Owner","deferred_off_before_discovery_locked_writer_stale_input"
"apps/server/src/outcomes/health-outcome.service.ts#calculateWeeklyHealthOutcomes","Future jobs skip; GAP: no effectiveFrom input cutoff or final pre-write recheck","DEFERRED_WITH_KILL_SWITCH","dedicated OPTIONAL_DERIVED_OUTCOMES_ENABLED returns before consent or user discovery when not exact true; final outcome create is locked but meal-plan input cutoff is not tied to grant epoch","OPTIONAL_DERIVED_OUTCOMES_ENABLED exact true is the dedicated default-OFF pre-discovery kill switch; personalization runtime is an additional gate","after both switches and current consent pass, UserOutcome create executes inside the shared boundary with expected epoch; activation remains prohibited until input epoch filtering exists","apps/server/src/outcomes/health-outcome.service.ts; apps/server/src/outcomes/outcomes.consent-gate.spec.ts","Outcome Privacy Owner","deferred_dedicated_kill_switch_off_before_discovery_locked_writer_stale_input"
"apps/server/src/outcomes/behavior-outcome.service.ts#calculateWeeklyBehaviorOutcomes","Future jobs skip; GAP: no effectiveFrom input cutoff or final pre-write recheck","DEFERRED_WITH_KILL_SWITCH","dedicated OPTIONAL_DERIVED_OUTCOMES_ENABLED returns before consent or user discovery when not exact true; final outcome create is locked but shopping-item inputs have no grant-epoch cutoff","OPTIONAL_DERIVED_OUTCOMES_ENABLED exact true is the dedicated default-OFF pre-discovery kill switch; personalization runtime is an additional gate","after both switches and current consent pass, UserOutcome create executes inside the shared boundary with expected epoch; activation remains prohibited until input epoch filtering exists","apps/server/src/outcomes/behavior-outcome.service.ts; apps/server/src/outcomes/outcomes.consent-gate.spec.ts","Outcome Privacy Owner","deferred_dedicated_kill_switch_off_before_discovery_locked_writer_stale_input"
"apps/server/src/outcomes/adherence-outcome.service.ts#calculateWeeklyAdherenceOutcomes","Future jobs skip; GAP: no effectiveFrom input cutoff or final pre-write recheck","DEFERRED_WITH_KILL_SWITCH","dedicated OPTIONAL_DERIVED_OUTCOMES_ENABLED returns before consent or user discovery when not exact true; final outcome create is locked but meal-plan source window is not tied to grant epoch","OPTIONAL_DERIVED_OUTCOMES_ENABLED exact true is the dedicated default-OFF pre-discovery kill switch; personalization runtime is an additional gate","after both switches and current consent pass, UserOutcome create executes inside the shared boundary with expected epoch; activation remains prohibited until input epoch filtering exists","apps/server/src/outcomes/adherence-outcome.service.ts; apps/server/src/outcomes/outcomes.consent-gate.spec.ts","Outcome Privacy Owner","deferred_dedicated_kill_switch_off_before_discovery_locked_writer_stale_input"
"apps/server/src/recipes/recipes.service.ts#getRecipeEngagement","GAP: provenance only; no current-consent population/effectiveFrom || GAP: withdrawn/re-consent users' historical provenanced events remain in aggregate || recipes.service.spec.ts covers OFF/provenance; GAP: current-population test absent","DEFERRED_WITH_KILL_SWITCH","public recipe engagement aggregate has purpose provenance but not a current-consent population","OPTIONAL_ANALYTICS_INGEST_ENABLED explicit pre-IO","analytics runtime disables engagement-derived ordering until population filtering exists","apps/server/src/recipes/recipes.service.ts; apps/server/src/recipes/recipes.service.spec.ts","Analytics Privacy Owner","deferred_population_filter"
"apps/server/src/workflow/workflow-nodes.service.ts#contentGaps","apps/server/src/workflow/workflow-nodes.service.ts#contentGaps || GAP: runtime+consentPurpose only; no current-consent population/effectiveFrom || GAP: when ON, withdrawn users' historical analytics rows remain counted || workflow-nodes.service.spec.ts covers OFF; GAP: withdrawal/current-population absent","READ_ONLY_FILTERED","workflow content-gap aggregate resolves current analytics subjects and filters events by each grant epoch","OPTIONAL_ANALYTICS_INGEST_ENABLED explicit","not applicable; read-only current-population filter","apps/server/src/workflow/workflow-nodes.service.spec.ts; apps/server/src/workflow/workflow-nodes.service.ts","Workflow Analytics Owner","closed_current_population_read"
"apps/server/src/retention/retention-policy.ts#RETENTION_POLICY","GAP: RecommendationServedItem and EventOutbox are not explicitly classified despite optional data ownership; indefinite policy remains ambiguous || retention-policy.spec.ts; GAP: explicit-model completeness should include newer models","RUNTIME_DISABLED","destructive retention remains disabled; unclassified optional models default to review_required and are not pruned","Destructive path disabled","destructive retention job is disabled and unlisted models are excluded from pruning","apps/server/src/retention/retention.service.spec.ts; apps/server/src/retention/retention-policy.ts","Data Governance Owner","disabled_conservative_default"
"apps/server/src/users/export/user-export.service.ts#exportUser","Withdrawal does not hide retained own data from subject; GAP: canonical UserConsent, RecommendationServedItem and EventOutbox are omitted || user-export.service.spec.ts; export disposable verification; GAP: completeness tests for omitted models","READ_ONLY_FILTERED","export is owner-scoped by authenticated userId and performs no optional processing; omitted model completeness is a separate data-portability follow-up","No optional runtime switch","not applicable; read-only subject filter","apps/server/src/users/users.controller.ts; apps/server/src/users/export/user-export.service.spec.ts","Data Export Owner","closed_access_scope_completeness_follow_up"
"apps/server/src/admin/admin.service.ts#AdminService.getContentGaps","apps/server/src/admin/admin.service.ts#AdminService.getContentGaps","READ_ONLY_FILTERED","admin content-gap read requires a current analytics population and per-subject epoch filter","OPTIONAL_ANALYTICS_INGEST_ENABLED","not applicable; read-only current-population filter","apps/server/src/admin/admin.service.spec.ts; apps/server/src/admin/admin.service.ts","Admin Analytics Owner","closed_current_population_read"
"apps/server/src/admin/admin.service.ts#AdminService.getAdminInsights","CALL OpsIntelligence/AnalyticsIntelligence/Admin content gaps","READ_ONLY_FILTERED","admin insights fails closed before optional analytics consumers when no current population exists","OPTIONAL_ANALYTICS_INGEST_ENABLED","not applicable; delegated read-only current-population filters","apps/server/src/admin/admin.service.spec.ts; apps/server/src/admin/admin.service.ts","Admin Analytics Owner","closed_current_population_read"
"apps/server/src/admin/admin-users.service.ts#AdminUsersService.list","GAP: role auth only; no optional runtime/current-consent population for event/favorite/meal-plan counts or last activity || GAP: no optional switch || GAP: reads optional counts/UserEvent while OFF || GAP: withdrawn users' historical activity remains exposed || admin-users.service.spec.ts; GAP: optional boundary test absent","READ_ONLY_FILTERED","admin roster intentionally selects operational/core fields only and exposes optional derived data as unavailable","No optional switch required because optional activity/behavior fields are excluded from this core operational roster","not applicable; optional behavior/activity fields are excluded","apps/server/src/admin/admin-users.service.spec.ts; apps/server/src/admin/admin-users.service.ts","Admin Privacy Owner","closed_optional_data_excluded"
"apps/server/src/admin/admin-users.service.ts#AdminUsersService.detail","GAP: role auth/audit only; optional budget/cuisines/healthGoals/counts/recent UserEvent have no current-purpose gate || GAP: no optional switch || GAP: exposes optional-derived/user behavior data while OFF || GAP: withdrawal/re-consent does not filter old dossier activity || admin-users.service.spec.ts; GAP: optional boundary test absent","READ_ONLY_FILTERED","admin dossier intentionally excludes optional tastes/goals/activity and returns only masked/core operational data","No optional switch required because optional derived dossier fields are excluded","not applicable; optional derived dossier is unavailable","apps/server/src/admin/admin-users.service.spec.ts; apps/server/src/admin/admin-users.service.ts","Admin Privacy Owner","closed_optional_data_excluded"
"apps/server/src/experimentation/experiment-engine.service.ts#ExperimentEngine.getWeights","Rechecks after read and before/after create; deletes only newly-created assignment if epoch changes; GAP: final-check race and compensating-delete failure remain","ACTIVE_GATED","active experiment-assignment writer and reader","Both optional switches via ConsentService.currentGrantEpoch","shared boundary encloses joint consent, epoch check, assignment read/create","apps/server/src/experimentation/experiment-engine.service.spec.ts; apps/server/src/experimentation/experiment-engine.service.ts","Transaction Boundary Engineer","closed_transactional_writer"
"apps/server/src/recommendation/pipeline/recipe-prior.service.ts#RecipePriorService.valuesForSlate","GAP: no analytics/personalization consent or grant epoch; reads person/cohort/population prior plus user facets when L1 flag enabled || GAP: withdrawn/re-granted user can consume old person/cohort priors; source contract has no evidence timestamp, so frozen RankingService currently refuses to consume it || recipe-prior.service.spec.ts covers L1 flag/read math; GAP: consent/epoch tests absent","RUNTIME_DISABLED","recipe-prior consumption is default-OFF and ranker fail-neutral rejects values without a real evidence envelope","L1_RECIPE_PRIOR_ENABLED default OFF only; no canonical optional switches","L1_RECIPE_PRIOR_ENABLED is the kill switch; no migration or fabricated timestamp","docs/architecture/p0-a/recipe_prior_provenance_decision_v1.md; apps/server/src/recommendation/pipeline/ranking.recipe-prior.spec.ts","Recipe-Prior Contract Reviewer","disabled_fail_neutral"
"apps/server/src/recommendation/pipeline/recipe-prior-learner.service.ts#RecipePriorLearnerService.scheduled/refresh","GAP: scheduled path has L1 flag only; public refresh has no runtime/current-consent population/provenance/epoch gate || Scheduled OFF no-ops; GAP: direct refresh still reads/writes optional populations || GAP: withdrawal/re-grant does not exclude old served/attribution/cook/user-facet rows; no final consent recheck and person priors persist || recipe-prior-learner.service.spec.ts covers math only; GAP: runtime/consent/epoch tests absent","RUNTIME_DISABLED","scheduled learner is default-OFF and direct refresh has no production caller; activation is prohibited without population provenance and boundary","L1_RECIPE_PRIOR_LEARN_ENABLED default OFF on scheduled only; no analytics/personalization switches","L1_RECIPE_PRIOR_LEARN_ENABLED is the scheduled kill switch","docs/architecture/p0-a/recipe_prior_provenance_decision_v1.md; apps/server/src/recommendation/pipeline/recipe-prior-learner.service.spec.ts","Recipe-Prior Contract Reviewer","disabled_no_production_activation"
